,Agrostis_stolonifera,Ammophila_arenaria,Aster_tripolium,Atriplex_glabriuscula,Atriplex_prostrata,Beta_vulgaris,Cochlearia_officinalis,Crithmum_maritimum,Elytrigia_juncea,Elytrigia_repens,Chamerion_angustifolium,Festuca_rubra,Geranium_robertianum,Glaucium_flavum,Honckenya_peploides,Lathyrus_pratensis,Leontodon_autumnalis,Leymus_arenarius,Limonium_binervosum_agg,Lotus_corniculatus,Medicago_lupulina,Odontites_vernus,Plantago_coronopus,Plantago_maritima,Polygonum_aviculare_agg,Puccinellia_maritima,Rosa_rugosa,Rubus_fruticosus_agg,Rumex_crispus,Salicornia_agg,Salsola_kali,Sedum_acre,Senecio_vulgaris,Lycopersicon_esculentum,Sonchus_oleraceus,Spergularia_marina,Suaeda_maritima,Taraxacum_officinale_agg,Trifolium_pratense,Trifolium_repens,Triglochin_maritimum,Tripleurospermum_maritimum,Vicia_sativa,Polytrichum_commune
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,45,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,20,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,7,0,0,0,0,70,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25,3,15,0,3,0,0,0,0,0,80,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
9,25,3,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,50,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
